,last_scraped,name,description,neighborhood_overview,picture_url,host_name,host_since,host_about,host_response_time,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,bathrooms_text,amenities,calendar_updated,has_availability,calendar_last_scraped,last_review,license,instant_bookable,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
122,18/09/2024,Nice room for 3 persons,"Very nice bed room that can accommodate up to 3 people (mixed). It has a small table, a bunk bed and a single bed.<br />The spacious bathroom is for multiple rooms.","Home of this pretty accommodation is Friedrichshain, one of the central districs in Berlin, surrounded by Prenzlauer Berg, Mitte and Kreuzberg.<br />Friedrichshain distinguishes himself as a student and artist district by its young and creative activities. Primarily due to the numerous bars, cafes, restaurants, galleries, theaters and cultural institutions with many really cheap small meal occasions with specialties from around the world.<br />In addition, there's the spectacular collection of Berlin's best clubs, which are in large part all  within walking distance. Because in 200 meters distance, among other things, there is the Berghain / Panorama Bar, which was chosen not only by the New York Times as the ""best club in the world"".",https://a0.muscache.com/pictures/38199989/967da85b_original.jpg,Sunflower Hostel,10/11/2011,"Touristische ‚àö√∫bernachtungen in Berlin ab dem 11.06.2021 wieder erlaubt! 

Hallo,
wir freuen uns sehr auf freundliche G‚àö¬ßste aus aller Welt und begr‚àö¬∫‚àö√ºen Euch ganz herzlich!

Im Sunflower Hostel stehen euch gemischte Mehrbettzimmer und geschlechtergetrennte Gemeinschaftsb‚àö¬ßder zur Verf‚àö¬∫gung. Des Weiteren erwarten euch freundliches Personal, die weltweit gr‚àö‚àÇ‚àö√ºte Outdoor-Raucher-Lounge und eine 23h-Bar. F‚àö¬∫r eure W‚àö¬∫nsche und Fragen haben wir rund um die Uhr ein offenes Ohr und helfen euch gern weiter mit Empfehlungen, Wegbeschreibungen etc.

Wir freuen uns auf Eure Anfragen!
Euer Sunflower-Team",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,0 shared baths,"[""Paid parking off premises"", ""Paid washer \u2013 In building"", ""Building staff"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hair dryer"", ""Iron"", ""Self check-in"", ""Hot water"", ""Central heating"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm""]",20/05/2019,t,18/09/2024,16/07/2024,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin",t,265402.0,1.0,0.99,1.8,2.6,3.0,1.1,1.0,3.0,18.0,1.0,1125.0,10.0,32,247,19.3,3.7,0.0,4.8,4.9,4.8,4.63,4.52,4.56,4.37,1.57
123,18/09/2024,Elegant 4-bed room in Berlin,Pretty 4-bed room (mixed) in Berlin that can accommodate up to 4 people. <br />You can book one to four beds in that room. If you book only one bed the other beds will be available for three more guests.<br />The room has bunkbeds and also a small table.<br />The spacious bathroom is for multiple rooms.,"Home of this pretty accommodation is Friedrichshain, one of the central districs in Berlin, surrounded by Prenzlauer Berg, Mitte and Kreuzberg.<br />Friedrichshain distinguishes himself as a student and artist district by its young and creative activities. Primarily due to the numerous bars, cafes, restaurants, galleries, theaters and cultural institutions with many really cheap small meal occasions with specialties from around the world.<br />In addition, there's the spectacular collection of Berlin's best clubs, which are in large part all  within walking distance. Because in 200 meters distance, among other things, there is the Berghain / Panorama Bar, which was chosen not only by the New York Times as the ""best club in the world"".",https://a0.muscache.com/pictures/38194657/c1a9bd1a_original.jpg,Sunflower Hostel,10/11/2011,"Touristische ‚àö√∫bernachtungen in Berlin ab dem 11.06.2021 wieder erlaubt! 

Hallo,
wir freuen uns sehr auf freundliche G‚àö¬ßste aus aller Welt und begr‚àö¬∫‚àö√ºen Euch ganz herzlich!

Im Sunflower Hostel stehen euch gemischte Mehrbettzimmer und geschlechtergetrennte Gemeinschaftsb‚àö¬ßder zur Verf‚àö¬∫gung. Des Weiteren erwarten euch freundliches Personal, die weltweit gr‚àö‚àÇ‚àö√ºte Outdoor-Raucher-Lounge und eine 23h-Bar. F‚àö¬∫r eure W‚àö¬∫nsche und Fragen haben wir rund um die Uhr ein offenes Ohr und helfen euch gern weiter mit Empfehlungen, Wegbeschreibungen etc.

Wir freuen uns auf Eure Anfragen!
Euer Sunflower-Team",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,0 shared baths,"[""Dryer"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""Washer"", ""Fire extinguisher"", ""Hair dryer"", ""Iron"", ""Heating"", ""Self check-in"", ""Hot water"", ""Building staff"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Kitchen""]",20/05/2019,t,18/09/2024,02/09/2024,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: AG Charlottenburg HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin",t,265408.0,1.0,0.99,1.8,2.6,4.0,1.1,1.0,1.7,20.0,1.0,1125.0,18.0,45,262,54.0,18.0,2.0,4.8,4.9,4.8,4.9,4.56,4.52,4.26,0.43
448,18/09/2024,"bed in a bed in a 6-Bed  dorm ,Shared Bathroom 3","with 12-man communal shared bathroom,  WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/0058f360-1b62-444f-ac3c-0fdb98d5bef3.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,28/07/2024,"Legal entity name and Legal form: Odysseehostel GmbH Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, ^10179, Berlin, Deutschland",f,1564806.0,1.0,0.93,1.8,2.6,6.0,1.5,1.0,1.7,46.0,1.0,14.0,11.0,37,67,19.3,19.0,0.0,4.54,4.72,4.55,4.72,4.71,4.46,4.59,1.84
449,18/09/2024,"bed in a 4-Bedroom mixed, Ensuite ,  No. 1","with bathroom, WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/c23ffdc6-f8e0-4741-b5e7-97e6aa2ab23c.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,11/08/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,1564917.0,1.0,0.93,1.8,2.6,4.0,1.5,1.0,1.7,66.0,1.0,14.0,24.0,54,84,19.3,23.0,0.0,4.66,4.82,4.71,4.83,4.78,4.61,4.63,2.03
450,18/09/2024,"bed in a 6-Bedroom mixed, Ensuite No. 1","with en-suite bathroom,  WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit<br />If you wanna stay privat you need to book and pay all the 6 beds !!!","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/c6205a9e-fcad-42c7-82f9-f46c4b2f98eb.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,16/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",t,1565012.0,1.0,0.93,1.8,2.6,6.0,1.5,1.0,1.7,130.0,1.0,1125.0,4.9,58,318,19.3,3.7,0.3,4.54,4.67,4.58,4.73,4.65,4.53,4.5,2.23
455,18/09/2024,"bed in a 8-bed dorm mixed Ensuite ,Kitchen 1","with en-suite bathroom, WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/e5264df3-35eb-44a6-869d-2f877aec220f.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1 shared bath,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,28/07/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Duetschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,1565047.0,1.0,0.93,1.8,2.6,2.7,1.0,1.0,1.7,44.0,1.0,14.0,16.0,46,166,19.3,6.0,0.0,4.52,4.59,4.46,4.76,4.69,4.44,4.53,0.98
684,18/09/2024,Spacious 6-bed room (mixed) in Berlin,Large room that can accommodate up to 6 people. It has 3 bunk beds and is very suitable for small groups.<br />The spacious bathroom is for multiple rooms.,"Home of this pretty accommodation is Friedrichshain, one of the central districs in Berlin, surrounded by Prenzlauer Berg, Mitte and Kreuzberg.<br />Friedrichshain distinguishes himself as a student and artist district by its young and creative activities. Primarily due to the numerous bars, cafes, restaurants, galleries, theaters and cultural institutions with many really cheap small meal occasions with specialties from around the world.<br />In addition, there's the spectacular collection of Berlin's best clubs, which are in large part all  within walking distance. Because in 200 meters distance, among other things, there is the Berghain / Panorama Bar, which was chosen not only by the New York Times as the ""best club in the world"".",https://a0.muscache.com/pictures/39685244/fd51c21a_original.jpg,Sunflower Hostel,10/11/2011,"Touristische ‚àö√∫bernachtungen in Berlin ab dem 11.06.2021 wieder erlaubt! 

Hallo,
wir freuen uns sehr auf freundliche G‚àö¬ßste aus aller Welt und begr‚àö¬∫‚àö√ºen Euch ganz herzlich!

Im Sunflower Hostel stehen euch gemischte Mehrbettzimmer und geschlechtergetrennte Gemeinschaftsb‚àö¬ßder zur Verf‚àö¬∫gung. Des Weiteren erwarten euch freundliches Personal, die weltweit gr‚àö‚àÇ‚àö√ºte Outdoor-Raucher-Lounge und eine 23h-Bar. F‚àö¬∫r eure W‚àö¬∫nsche und Fragen haben wir rund um die Uhr ein offenes Ohr und helfen euch gern weiter mit Empfehlungen, Wegbeschreibungen etc.

Wir freuen uns auf Eure Anfragen!
Euer Sunflower-Team",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,0 shared baths,"[""Iron"", ""Building staff"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Pack \u2019n play/Travel crib - available upon request"", ""First aid kit"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Paid street parking off premises"", ""Central heating"", ""Wifi"", ""Essentials""]",20/05/2019,t,18/09/2024,02/09/2024,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin",t,3108376.0,1.0,0.99,1.8,2.6,6.0,1.1,1.0,1.7,17.0,1.0,1125.0,4.9,58,275,19.3,3.7,1.0,4.37,4.6,4.8,4.62,4.58,4.62,4.47,1.18
685,18/09/2024,Spacious 5-bed room in Berlin,Very nice mixed 5-bed-room that can accommodate up to 5 people. <br />You can book one to five beds in that room. If you book only one bed the other beds will be available for four more guests.<br /> <br />It has 2 bunk beds + 1 single bed and is very suitable for small groups.<br />The spacious bathroom is for multiple rooms.,"Home of this pretty accommodation is Friedrichshain, one of the central districs in Berlin, surrounded by Prenzlauer Berg, Mitte and Kreuzberg.<br />Friedrichshain distinguishes himself as a student and artist district by its young and creative activities. Primarily due to the numerous bars, cafes, restaurants, galleries, theaters and cultural institutions with many really cheap small meal occasions with specialties from around the world.<br />In addition, there's the spectacular collection of Berlin's best clubs, which are in large part all  within walking distance. Because in 200 meters distance, among other things, there is the Berghain / Panorama Bar, which was chosen not only by the New York Times as the ""best club in the world"".",https://a0.muscache.com/pictures/39686587/41e1c695_original.jpg,Sunflower Hostel,10/11/2011,"Touristische ‚àö√∫bernachtungen in Berlin ab dem 11.06.2021 wieder erlaubt! 

Hallo,
wir freuen uns sehr auf freundliche G‚àö¬ßste aus aller Welt und begr‚àö¬∫‚àö√ºen Euch ganz herzlich!

Im Sunflower Hostel stehen euch gemischte Mehrbettzimmer und geschlechtergetrennte Gemeinschaftsb‚àö¬ßder zur Verf‚àö¬∫gung. Des Weiteren erwarten euch freundliches Personal, die weltweit gr‚àö‚àÇ‚àö√ºte Outdoor-Raucher-Lounge und eine 23h-Bar. F‚àö¬∫r eure W‚àö¬∫nsche und Fragen haben wir rund um die Uhr ein offenes Ohr und helfen euch gern weiter mit Empfehlungen, Wegbeschreibungen etc.

Wir freuen uns auf Eure Anfragen!
Euer Sunflower-Team",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,0 shared baths,"[""Dryer"", ""Paid parking off premises"", ""Paid washer \u2013 In building"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Hair dryer"", ""Iron"", ""Heating"", ""Self check-in"", ""Hot water"", ""Building staff"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Kitchen""]",20/05/2019,t,18/09/2024,19/07/2024,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin",t,3108596.0,1.0,0.99,1.8,2.6,5.0,1.1,1.0,1.7,15.0,1.0,1125.0,23.0,42,259,59.0,8.0,0.0,4.8,4.9,4.31,4.58,4.54,4.63,4.24,0.47
686,18/09/2024,Nice and big 8-bed-room in Berlin,Very large room that can accommodate up to 8 people (mixed) place offers. <br />You can book one to eight beds in that room. If you book only one bed the other beds will be available for 7 more guests.<br /><br />It has 4 bunks and lends itself very well for a small group.<br />The spacious bathroom is for multiple rooms.,"Home of this pretty accommodation is Friedrichshain, one of the central districs in Berlin, surrounded by Prenzlauer Berg, Mitte and Kreuzberg.<br />Friedrichshain distinguishes himself as a student and artist district by its young and creative activities. Primarily due to the numerous bars, cafes, restaurants, galleries, theaters and cultural institutions with many really cheap small meal occasions with specialties from around the world.<br />In addition, there's the spectacular collection of Berlin's best clubs, which are in large part all  within walking distance. Because in 200 meters distance, among other things, there is the Berghain / Panorama Bar, which was chosen not only by the New York Times as the ""best club in the world"".",https://a0.muscache.com/pictures/39687514/8d48615b_original.jpg,Sunflower Hostel,10/11/2011,"Touristische ‚àö√∫bernachtungen in Berlin ab dem 11.06.2021 wieder erlaubt! 

Hallo,
wir freuen uns sehr auf freundliche G‚àö¬ßste aus aller Welt und begr‚àö¬∫‚àö√ºen Euch ganz herzlich!

Im Sunflower Hostel stehen euch gemischte Mehrbettzimmer und geschlechtergetrennte Gemeinschaftsb‚àö¬ßder zur Verf‚àö¬∫gung. Des Weiteren erwarten euch freundliches Personal, die weltweit gr‚àö‚àÇ‚àö√ºte Outdoor-Raucher-Lounge und eine 23h-Bar. F‚àö¬∫r eure W‚àö¬∫nsche und Fragen haben wir rund um die Uhr ein offenes Ohr und helfen euch gern weiter mit Empfehlungen, Wegbeschreibungen etc.

Wir freuen uns auf Eure Anfragen!
Euer Sunflower-Team",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,0 shared baths,"[""Dryer"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""Washer"", ""Fire extinguisher"", ""Hair dryer"", ""Iron"", ""Heating"", ""Self check-in"", ""Hot water"", ""Building staff"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Kitchen""]",20/05/2019,t,18/09/2024,30/08/2024,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin",t,3108686.0,1.0,0.99,1.8,2.6,2.7,1.1,1.0,1.7,12.0,1.0,1125.0,23.0,49,261,93.0,13.0,1.0,4.8,4.9,4.8,4.62,4.55,4.52,4.37,0.75
687,18/09/2024,Nice and big 7-bed-room in Berlin,Very large room that can accommodate up to 7 people (mixed) place offers. <br />You can book one to seven beds in that room. If you book only one bed the other beds will be available for sechs more guests.<br /><br />It has 3 bunks + 1 single bed and lends itself very well for a small group.<br />The spacious bathroom is for multiple rooms.,"Home of this pretty accommodation is Friedrichshain, one of the central districs in Berlin, surrounded by Prenzlauer Berg, Mitte and Kreuzberg.<br />Friedrichshain distinguishes himself as a student and artist district by its young and creative activities. Primarily due to the numerous bars, cafes, restaurants, galleries, theaters and cultural institutions with many really cheap small meal occasions with specialties from around the world.<br />In addition, there's the spectacular collection of Berlin's best clubs, which are in large part all  within walking distance. Because in 200 meters distance, among other things, there is the Berghain / Panorama Bar, which was chosen not only by the New York Times as the ""best club in the world"".",https://a0.muscache.com/pictures/39691562/c675e3d4_original.jpg,Sunflower Hostel,10/11/2011,"Touristische ‚àö√∫bernachtungen in Berlin ab dem 11.06.2021 wieder erlaubt! 

Hallo,
wir freuen uns sehr auf freundliche G‚àö¬ßste aus aller Welt und begr‚àö¬∫‚àö√ºen Euch ganz herzlich!

Im Sunflower Hostel stehen euch gemischte Mehrbettzimmer und geschlechtergetrennte Gemeinschaftsb‚àö¬ßder zur Verf‚àö¬∫gung. Des Weiteren erwarten euch freundliches Personal, die weltweit gr‚àö‚àÇ‚àö√ºte Outdoor-Raucher-Lounge und eine 23h-Bar. F‚àö¬∫r eure W‚àö¬∫nsche und Fragen haben wir rund um die Uhr ein offenes Ohr und helfen euch gern weiter mit Empfehlungen, Wegbeschreibungen etc.

Wir freuen uns auf Eure Anfragen!
Euer Sunflower-Team",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,0 shared baths,"[""Body soap"", ""Iron"", ""Building staff"", ""Carbon monoxide alarm"", ""Paid parking off premises"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Pack \u2019n play/Travel crib - available upon request"", ""First aid kit"", ""Bed linens"", ""Paid parking lot on premises"", ""Fire extinguisher"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Central heating"", ""Wifi"", ""Essentials""]",20/05/2019,t,18/09/2024,20/06/2024,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin",t,3109139.0,1.0,0.99,1.8,2.6,7.0,1.1,1.0,1.7,9.0,1.0,1125.0,18.0,39,236,84.0,8.0,0.0,4.8,4.9,4.8,4.9,4.52,4.42,4.22,0.67
